cloud,region,iso
aws,af-south-1,emap:ZA
aws,ap-east-1,emap:HK
aws,ap-northeast-1,emap:JP-TK
aws,ap-northeast-2,emap:KR
aws,ap-northeast-3,emap:JP-KN
aws,ap-south-1,emap:IN-WE
aws,ap-southeast-1,emap:SG
aws,ap-southeast-2,emap:AU-NSW
aws,ca-central-1,emap:CA-QC
aws,cn-north-1,emap:CN
aws,cn-northwest-1,emap:CN
aws,eu-central-1,emap:DE
aws,eu-north-1,emap:SE-SE3
aws,eu-south-1,emap:IT-NO
aws,eu-west-1,emap:IE
aws,eu-west-2,emap:GB
aws,eu-west-3,emap:FR
aws,me-south-1,emap:BH
aws,sa-east-1,emap:BR-CS
aws,us-east-1,emap:US-MIDA-PJM
aws,us-east-2,emap:US-MIDA-PJM
aws,us-gov-east-1,emap:US-MIDA-PJM
aws,us-gov-west-1,emap:US-NW-PACW
aws,us-west-1,emap:US-CAL-CISO
aws,us-west-2,emap:US-NW-PACW
