region,iso
africa-south1,
asia-east1,emap:TW
asia-east2,emap:HK
asia-northeast1,emap:JP-TK
asia-northeast2,emap:JP-KN
asia-northeast3,emap:KR
asia-south1,emap:IN-WE
asia-south2,emap:IN-NO
asia-southeast1,emap:SG
asia-southeast2,emap:ID
australia-southeast1,emap:AU-NSW
australia-southeast2,emap:AU-VIC
europe-central2,emap:PL
europe-north1,emap:FI
europe-west1,emap:BE
europe-west2,emap:GB
europe-west3,emap:DE
europe-west4,emap:NL
europe-west6,emap:CH
northamerica-northeast1,emap:CA-QC
northamerica-northeast2,emap:CA-ON
southamerica-east1,emap:BR-CS
southamerica-west1,emap:CL-SEN
us-central1,emap:US-CENT-SWPP
us-central2,emap:US-MIDW-AECI
us-east1,emap:US-CAR-SCEG
us-east4,emap:US-MIDA-PJM
us-east7,emap:US-SE-SOCO
us-west1,emap:US-NW-PACW
us-west2,emap:US-CAL-CISO
us-west3,emap:US-NW-PACE
us-west4,emap:US-NW-NEVP
